SECNO,REGION,STATE,STATION,LAT,LATITUDE,LONG,LUNIT,LONGITUD,VEGTAT,VEG,SOIL,SOIL2,CMAT,CRR,MCM,MWM,RHIGH,RLOW,RRCORR,TJAN,TFEB,TMAR,TAPR,TMAY,TJUN,TJUL,TAUG,TSEP,TOCT,TNOV,TDEC,TUNIT,RJAN,RFEB,RMAR,RAPR,RMAY,RJUN,RJUL,RAUG,RSEP,ROCT,RNOV,RDEC,RUNIT,ELEV,ELUNIT,COKLM,VEGNU
A,B,BRAZIL,OURO_PRET,S,20.3833,W,DD,43.4833,SW,,O,U,17.3935,1782.5720,13.6111,20.0000,352.5520,16.5100,-2.0000,20.0000,20.0000,19.5000,17.8889,15.7778,14.3889,13.6111,15.0000,16.7222,17.7778,18.7778,19.2778,C,323.5960,239.5220,205.4860,98.8060,29.4640,18.0340,16.5100,32.0040,66.2940,158.4960,241.8080,352.5520,MM,3641.00,FT,240.00,3.00
A,B,BRAZIL,PARACATU,S,17.2167,W,DD,46.8667,SW,,O,A3,22.0648,2850.8960,18.7222,24.2222,658.1140,3.0480,2.0000,23.6111,23.3889,23.2778,22.3889,20.1111,18.7222,18.7778,20.7778,23.2222,24.2222,23.3889,22.8889,C,501.9040,439.9280,328.9300,170.9420,32.0040,25.9080,3.0480,4.0640,52.0700,196.0880,437.8960,658.1140,MM,2289.00,FT,735.00,3.00
A,B,BRAZIL,PARINTINS,S,2.6333,W,DD,56.7333,FE,,O,,27.8472,2311.9080,27.0000,29.1111,386.0800,52.0700,4.0000,27.2778,27.0000,27.0000,27.2222,27.3889,27.3889,27.6111,28.2778,28.7222,28.8889,29.1111,28.2778,C,282.4480,309.8800,386.0800,344.1700,264.4140,165.1000,116.5860,62.9920,52.0700,58.1660,103.6320,166.3700,MM,95.00,FT,750.00,1.00
A,B,BRAZIL,PORANGABA,S,3.7667,W,DD,38.5500,DTW,,O,,26.2454,1397.2540,25.2778,27.1111,323.3420,10.9220,4.0000,26.8889,26.5000,26.2222,26.1111,25.8889,25.5000,25.2778,25.6111,26.2222,26.7222,26.8889,27.1111,C,100.5840,236.4740,290.0680,323.3420,201.1680,103.6320,44.1960,19.5580,20.0660,10.9220,18.7960,28.4480,MM,89.00,FT,65.00,13.00
A,B,BRAZIL,PORTO_VEL,S,8.7666,W,DD,63.9167,FE,,O,,26.2176,2231.8980,25.3889,26.7778,388.6200,13.2080,2.0000,26.2222,26.2222,26.2222,26.3889,25.8889,25.6111,25.3889,26.2222,26.7778,26.6111,26.7778,26.2778,C,388.6200,303.2760,319.5320,233.4260,106.1720,36.0680,13.2080,32.5120,120.3960,187.9600,205.2320,285.4960,MM,420.00,FT,1280.00,1.00
A,B,BRAZIL,REMANSO,S,9.6800,W,DD,42.0600,DTW,SW,A3,,27.1389,496.8494,25.6111,28.2778,107.9500,0.0254,5.0000,27.5000,27.5000,27.1111,27.2778,27.0000,26.5556,25.6111,26.0000,27.2222,28.2778,28.0000,27.6111,C,91.9480,65.0240,107.9500,35.0520,9.9060,1.0160,1.0160,0.0254,4.0640,9.9060,77.9780,92.9640,MM,1348.00,FT,514.00,13.00
A,B,BRAZIL,SAO_LUIZ,S,2.5333,W,DD,44.2833,FMO,FE,O,,26.6620,1954.2760,26.2222,27.2778,416.0520,4.0640,5.0000,26.7778,26.3889,26.2778,26.2778,26.2778,26.3889,26.2222,26.6111,27.0000,27.2222,27.2778,27.2222,C,155.9560,268.9860,416.0520,416.0520,318.0080,154.9400,110.9980,36.0680,7.1120,4.0640,20.0660,45.9740,MM,104.00,FT,2.00,2.00
A,B,BRAZIL,SAO_PAULO,S,23.5000,W,DD,46.6167,FE,,U,,18.4583,1425.4480,14.6111,21.7222,252.9840,39.1160,-1.0000,21.6111,21.7222,20.7778,18.7222,16.8889,15.6111,14.6111,16.2222,17.2778,18.6111,19.2222,20.2222,C,252.9840,227.0760,172.9740,81.0260,54.1020,53.0860,42.9260,39.1160,64.0080,127.0000,131.0640,180.0860,MM,2597.00,FT,75.00,1.00
A,B,BRAZIL,SENA_MADU,S,9.1333,W,DD,68.6667,FE,,O,,24.6481,2138.9340,23.1111,25.7222,316.4840,36.0680,4.0000,25.3889,25.2778,25.1667,24.8889,24.0000,23.2778,23.1111,23.7222,25.7222,25.2222,24.5000,25.5000,C,316.4840,285.4960,266.4460,231.1400,124.9680,66.0400,36.0680,45.4660,126.2380,173.2280,193.2940,274.0660,MM,443.00,FT,965.00,1.00
A,B,BRAZIL,SOBRALL,S,3.7000,W,DD,40.3500,DTW,,A3,,27.9861,758.9520,26.7222,29.1111,211.0740,1.0160,4.0000,28.7222,27.8889,26.7222,26.8889,26.8889,27.2778,27.6111,28.1111,28.7222,29.0000,29.1111,28.8889,C,59.9440,134.8740,211.0740,187.9600,100.0760,27.9400,8.8900,1.0160,2.0320,2.0320,4.0640,19.0500,MM,206.00,FT,91.00,13.00
